"","rTg4510_ECX","rTg4510_HIP","J20_ECX","J20_HIP"
"Genotype.Intercept",0.636001284950235,0.517909740623139,0.964615273321696,0.79338737360123
"Genotype.Beta",0.00333422908626234,0.0937125088722841,-0.00694508500746519,-0.0130602281822337
"Genotype.SE",0.0902437603098676,0.0675866307143408,0.0915667808389903,0.0719801739823936
"Genotype.P",0.970720743398979,0.173876215189687,0.939938574132139,0.856985005868093
