"","rTg4510_ECX","rTg4510_HIP","J20_ECX","J20_HIP"
"Pathology.Intercept",0.584727701799256,0.474616741284275,0.94060500735572,0.720106513991546
"Pathology.Beta",0.00729948643898319,0.0164703648990297,0.375549822602471,0.0184541999456395
"Pathology.SE",0.00666992693000464,0.00246470624288272,0.320326502712105,0.00623082537354065
"Pathology.P",0.281259544677671,7.53608569155881e-08,0.248531193547857,0.00525014610466422
